"price","cut","carat"
2781,"Ideal",0.78
2782,"Very Good",0.72
2782,"Very Good",0.53
2782,"Ideal",0.76
2782,"Good",0.7
2782,"Premium",0.7
2782,"Very Good",0.75
2782,"Ideal",0.72
2782,"Premium",0.72
2782,"Premium",0.7
2782,"Fair",0.84
2782,"Premium",0.75
2783,"Ideal",0.52
2784,"Very Good",0.72
2784,"Very Good",0.79
2787,"Very Good",0.72
2787,"Ideal",0.51
2787,"Ideal",0.64
2788,"Very Good",0.7
2788,"Very Good",0.83
2788,"Ideal",0.76
2788,"Good",0.71
2788,"Good",0.77
2788,"Ideal",0.71
2788,"Fair",1.01
2788,"Premium",1.01
2789,"Good",0.77
2789,"Good",0.76
2789,"Premium",0.76
2789,"Premium",0.76
2789,"Very Good",1.05
2789,"Ideal",0.81
2789,"Ideal",0.7
2789,"Ideal",0.55
2789,"Good",0.81
2789,"Premium",0.63
2789,"Premium",0.63
2789,"Premium",0.77
2789,"Fair",1.05
2790,"Ideal",0.64
2790,"Premium",0.76
2790,"Ideal",0.83
2790,"Premium",0.71
2790,"Premium",0.71
2791,"Very Good",0.87
2791,"Ideal",0.73
2792,"Premium",0.71
2792,"Premium",0.71
2792,"Ideal",0.71
2792,"Premium",0.7
2792,"Premium",0.7
2792,"Premium",0.76
2792,"Ideal",0.7
2793,"Very Good",0.79
2793,"Very Good",0.7
2793,"Good",0.7
2793,"Ideal",0.76
2793,"Ideal",0.73
2794,"Very Good",0.79
2795,"Very Good",0.71
2795,"Premium",0.81
2795,"Ideal",0.81
2795,"Good",0.72
2795,"Premium",0.72
2795,"Premium",0.72
2795,"Premium",0.81
2795,"Premium",0.72
2795,"Premium",1
2796,"Good",0.73
2797,"Very Good",0.81
2797,"Very Good",0.81
2797,"Premium",0.71
2797,"Premium",0.71
2797,"Premium",0.71
2797,"Ideal",0.57
2797,"Ideal",0.51
2797,"Ideal",0.72
2797,"Ideal",0.74
2797,"Ideal",0.74
2797,"Fair",0.7
2797,"Premium",0.8
2797,"Fair",1.01
2797,"Very Good",0.8
2798,"Ideal",0.77
2799,"Very Good",0.83
2799,"Ideal",0.82
2799,"Ideal",0.78
2800,"Very Good",0.6
2800,"Good",0.9
2800,"Premium",0.7
2800,"Very Good",0.9
2800,"Ideal",0.83
2800,"Ideal",0.83
2800,"Very Good",0.83
2800,"Premium",0.74
2800,"Ideal",0.79
2800,"Ideal",0.61
2800,"Fair",0.76
2801,"Ideal",0.96
2801,"Ideal",0.73
2801,"Premium",0.73
2801,"Ideal",0.75
2801,"Premium",0.71
2801,"Good",0.71
2801,"Good",0.71
2801,"Premium",0.71
2801,"Premium",1.04
2801,"Premium",1
2802,"Very Good",0.87
2802,"Ideal",0.53
2802,"Premium",0.72
2802,"Premium",0.72
2803,"Very Good",0.7
2803,"Very Good",0.74
2803,"Ideal",0.71
2803,"Ideal",0.73
2803,"Good",0.7
2803,"Premium",0.71
2803,"Premium",0.71
2803,"Premium",0.71
2803,"Premium",0.77
2803,"Premium",0.71
2803,"Premium",0.78
2803,"Very Good",0.71
2803,"Ideal",0.91
2804,"Very Good",0.71
2804,"Very Good",0.71
2804,"Very Good",0.8
2804,"Very Good",0.7
2804,"Ideal",0.72
2804,"Very Good",0.72
2804,"Ideal",0.82
2804,"Ideal",0.7
2804,"Ideal",0.72
2804,"Ideal",0.72
2804,"Fair",0.9
2805,"Premium",0.74
2805,"Premium",0.74
2805,"Ideal",0.73
2805,"Fair",0.57
2805,"Premium",0.73
2805,"Ideal",0.72
2805,"Fair",0.74
2805,"Good",0.82
2806,"Very Good",0.81
2806,"Very Good",0.75
2806,"Ideal",0.7
2807,"Very Good",0.71
2807,"Very Good",0.71
2807,"Premium",0.93
2808,"Very Good",0.8
2808,"Very Good",0.7
2808,"Fair",1
2808,"Very Good",0.75
2808,"Ideal",0.58
2808,"Very Good",0.73
2809,"Very Good",0.81
2809,"Premium",0.81
2809,"Premium",0.71
2809,"Fair",1.2
2810,"Very Good",0.7
2810,"Very Good",0.7
2810,"Ideal",0.74
2810,"Good",0.7
2810,"Good",0.8
2811,"Very Good",0.75
2811,"Very Good",0.83
2811,"Fair",1
2811,"Fair",0.99
2812,"Very Good",0.7
2812,"Very Good",0.7
2812,"Good",0.7
2812,"Very Good",0.7
554,"Premium",0.32
554,"Premium",0.32
554,"Ideal",0.32
554,"Premium",0.32
554,"Very Good",0.32
554,"Ideal",0.32
554,"Premium",0.3
554,"Premium",0.3
554,"Premium",0.3
554,"Very Good",0.3
554,"Good",0.3
554,"Ideal",0.3
554,"Very Good",0.3
554,"Good",0.32
554,"Ideal",0.33
555,"Very Good",0.29
555,"Very Good",0.29
555,"Very Good",0.31
555,"Ideal",0.34
555,"Ideal",0.34
555,"Ideal",0.34
555,"Ideal",0.34
555,"Ideal",0.3
555,"Ideal",0.29
555,"Ideal",0.35
555,"Very Good",0.43
556,"Very Good",0.32
556,"Ideal",0.36
556,"Ideal",0.3
556,"Ideal",0.26
2812,"Very Good",0.7
2812,"Very Good",0.7
2812,"Ideal",0.71
2812,"Fair",0.99
2812,"Premium",0.73
2812,"Ideal",0.51
2813,"Premium",0.91
2813,"Very Good",0.84
2813,"Good",0.91
2814,"Premium",0.76
2814,"Ideal",0.76
2814,"Premium",0.75
2815,"Very Good",0.55
2815,"Very Good",0.76
2815,"Premium",0.74
2815,"Ideal",0.7
2815,"Ideal",0.7
2815,"Ideal",0.7
2815,"Ideal",0.7
2815,"Fair",0.9
2815,"Fair",0.95
2815,"Premium",0.89
2815,"Premium",0.72
2815,"Fair",0.96
2815,"Premium",1.02
2816,"Very Good",0.78
2816,"Ideal",0.61
2816,"Good",0.71
2816,"Premium",0.78
2816,"Ideal",0.87
2816,"Ideal",0.83
2817,"Premium",0.71
2817,"Ideal",0.71
2817,"Ideal",0.71
2817,"Premium",0.71
2817,"Ideal",0.63
2817,"Premium",0.71
2817,"Premium",0.71
2817,"Ideal",0.71
2817,"Premium",0.71
2817,"Ideal",0.9
2817,"Good",0.71
2818,"Premium",0.7
2818,"Premium",0.7
2818,"Premium",0.7
2818,"Premium",1
2818,"Premium",0.86
2818,"Ideal",0.8
2818,"Ideal",0.7
2818,"Premium",0.7
2818,"Premium",0.7
2818,"Premium",0.7
2818,"Fair",1
2819,"Very Good",0.72
2819,"Ideal",0.72
2819,"Good",0.7
2819,"Good",0.86
2820,"Ideal",0.71
2821,"Ideal",0.75
2821,"Premium",0.73
2821,"Ideal",0.53
2821,"Premium",0.73
2821,"Good",0.73
2821,"Premium",0.73
2821,"Premium",0.73
2821,"Premium",0.73
2821,"Very Good",0.73
2822,"Premium",0.7
2822,"Premium",0.72
2822,"Premium",0.72
2822,"Premium",0.72
2822,"Premium",0.7
2822,"Ideal",0.6
2822,"Ideal",0.74
2822,"Ideal",0.73
2822,"Premium",0.71
2822,"Premium",0.71
2822,"Premium",0.7
2822,"Ideal",0.7
2822,"Good",0.9
2822,"Ideal",0.71
2822,"Premium",0.7
2822,"Premium",0.7
2822,"Ideal",0.7
2822,"Good",0.7
2822,"Ideal",0.7
2822,"Ideal",0.7
2822,"Premium",0.7
2822,"Premium",0.7
2822,"Ideal",0.7
2823,"Very Good",0.79
2823,"Good",0.9
2823,"Premium",0.71
2823,"Ideal",0.61
2823,"Fair",0.9
2823,"Ideal",0.71
2824,"Premium",0.71
2824,"Ideal",0.77
2824,"Good",0.74
2824,"Ideal",0.82
2824,"Premium",0.82
2825,"Premium",0.71
2825,"Premium",0.83
2825,"Very Good",0.73
2825,"Premium",0.83
2825,"Premium",1.17
2825,"Fair",0.91
2826,"Premium",0.73
2826,"Good",0.7
2826,"Premium",0.9
2826,"Premium",0.7
2826,"Very Good",0.7
2826,"Premium",0.7
2826,"Very Good",0.9
2826,"Premium",0.78
2826,"Ideal",0.96
2827,"Very Good",0.7
2827,"Good",0.72
2827,"Premium",0.79
2827,"Ideal",0.7
2827,"Ideal",0.7
2828,"Ideal",0.7
2828,"Premium",1.01
2829,"Premium",0.72
2829,"Good",0.8
2829,"Ideal",0.59
2829,"Ideal",0.72
2829,"Premium",0.75
2829,"Premium",0.8
2830,"Very Good",0.71
2830,"Very Good",0.77
2830,"Ideal",0.97
2830,"Ideal",0.53
2830,"Ideal",0.53
2830,"Ideal",0.8
2830,"Premium",0.9
2831,"Very Good",0.76
2831,"Ideal",0.72
2831,"Ideal",0.75
2831,"Premium",0.72
2831,"Ideal",0.79
2832,"Very Good",0.72
2832,"Very Good",0.91
2832,"Premium",0.71
2832,"Premium",0.81
2832,"Ideal",0.82
2832,"Premium",0.71
2832,"Good",0.9
2833,"Very Good",0.8
2833,"Very Good",0.56
2833,"Very Good",0.7
2833,"Ideal",0.7
2833,"Ideal",0.61
2833,"Ideal",0.85
2833,"Ideal",0.7
2834,"Ideal",0.8
2834,"Ideal",0.8
2834,"Very Good",0.51
2834,"Ideal",0.53
2834,"Ideal",0.78
2834,"Very Good",0.9
2834,"Fair",0.9
2834,"Ideal",0.77
2835,"Ideal",0.73
2835,"Ideal",0.63
2835,"Ideal",0.7
2835,"Ideal",0.72
2835,"Ideal",0.72
2835,"Premium",0.75
2836,"Very Good",0.82
2836,"Good",0.71
2837,"Premium",0.7
2837,"Ideal",0.7
2838,"Ideal",0.71
2838,"Very Good",0.76
2838,"Fair",0.82
2838,"Premium",0.72
2838,"Premium",0.7
2838,"Premium",0.7
2838,"Premium",0.7
2838,"Premium",0.7
2838,"Very Good",0.7
2838,"Premium",0.7
2838,"Premium",0.7
2838,"Premium",0.7
2839,"Very Good",0.74
2839,"Ideal",0.71
2839,"Ideal",0.7
2839,"Ideal",0.71
2839,"Premium",0.71
2839,"Premium",0.71
2839,"Premium",0.71
2839,"Ideal",0.7
2839,"Ideal",0.73
2839,"Ideal",0.7
2839,"Ideal",0.7
2839,"Premium",0.71
2839,"Premium",0.71
2839,"Premium",0.79
2839,"Premium",0.71
2840,"Very Good",0.77
2840,"Very Good",0.75
2840,"Ideal",0.7
2840,"Premium",0.71
2840,"Ideal",0.92
2840,"Premium",0.83
2840,"Premium",0.7
2841,"Premium",0.73
2841,"Very Good",0.71
2841,"Very Good",0.73
2841,"Ideal",0.82
2841,"Ideal",0.82
2841,"Very Good",0.82
2841,"Ideal",0.52
2841,"Premium",1
2841,"Fair",0.95
2841,"Ideal",0.73
2841,"Premium",0.73
2841,"Premium",0.73
2842,"Ideal",0.8
2842,"Premium",0.7
2843,"Very Good",0.7
2843,"Very Good",0.7
2843,"Very Good",0.71
2843,"Very Good",0.81
2843,"Very Good",0.71
2843,"Ideal",0.73
2843,"Very Good",0.73
2843,"Ideal",0.72
2843,"Ideal",0.81
2843,"Ideal",0.71
2844,"Very Good",0.73
2844,"Very Good",0.7
2844,"Ideal",1.01
2844,"Good",1.01
2844,"Ideal",0.79
2845,"Very Good",0.7
2845,"Very Good",0.7
2845,"Good",0.8
2845,"Premium",1.27
2846,"Ideal",0.79
2846,"Very Good",0.72
2846,"Ideal",0.73
2846,"Fair",1.01
2846,"Good",1.01
2846,"Ideal",0.73
2846,"Ideal",0.7
2846,"Good",0.7
2846,"Premium",0.77
2846,"Premium",0.77
2846,"Premium",0.77
2847,"Very Good",0.84
2847,"Ideal",0.72
2847,"Premium",0.76
2848,"Very Good",0.7
2848,"Ideal",0.54
2848,"Fair",0.75
2849,"Good",0.79
2849,"Very Good",0.74
2850,"Very Good",0.7
2850,"Ideal",0.7
2850,"Ideal",0.75
2850,"Very Good",1.2
2851,"Very Good",0.8
2851,"Ideal",0.66
2851,"Very Good",0.87
2851,"Premium",0.86
2851,"Ideal",0.74
2852,"Very Good",0.58
2852,"Ideal",0.78
2852,"Ideal",0.74
2852,"Ideal",0.73
2852,"Very Good",0.91
2853,"Premium",0.71
2853,"Good",0.71
2853,"Ideal",0.79
2853,"Premium",0.79
2853,"Premium",0.71
2853,"Premium",0.82
2854,"Very Good",0.78
2854,"Very Good",0.7
2854,"Premium",1.12
2854,"Premium",0.73
2854,"Fair",0.91
2854,"Fair",0.91
2854,"Good",0.91
2854,"Fair",0.91
2854,"Premium",0.7
2854,"Premium",0.68
2855,"Very Good",0.73
2855,"Good",1.03
2855,"Premium",0.74
2855,"Fair",0.98
2856,"Fair",1.02
2856,"Fair",1
2856,"Ideal",1.02
2856,"Ideal",0.6
2856,"Ideal",0.8
2856,"Ideal",0.97
2856,"Fair",1
556,"Ideal",0.26
556,"Ideal",0.26
556,"Ideal",0.36
556,"Good",0.34
556,"Good",0.34
556,"Good",0.34
556,"Good",0.34
556,"Very Good",0.34
556,"Ideal",0.34
556,"Good",0.32
557,"Ideal",0.31
557,"Ideal",0.31
557,"Ideal",0.31
557,"Ideal",0.31
557,"Ideal",0.31
557,"Ideal",0.31
557,"Ideal",0.31
557,"Ideal",0.31
557,"Ideal",0.31
557,"Premium",0.33
557,"Premium",0.33
557,"Premium",0.33
557,"Ideal",0.33
557,"Premium",0.33
557,"Premium",0.33
557,"Premium",0.33
557,"Ideal",0.33
557,"Ideal",0.33
557,"Good",0.33
557,"Premium",0.33
2856,"Fair",1
2856,"Premium",0.77
2856,"Premium",0.77
2857,"Good",0.7
2857,"Very Good",0.9
2857,"Ideal",0.72
2857,"Premium",0.9
2857,"Premium",0.72
2858,"Ideal",0.7
2858,"Very Good",0.81
2858,"Very Good",0.81
2858,"Premium",0.71
2858,"Premium",0.7
2858,"Premium",0.71
2858,"Very Good",0.71
2858,"Premium",0.92
2858,"Ideal",0.76
2858,"Ideal",0.73
2858,"Premium",0.71
2858,"Good",0.7
2858,"Fair",0.9
2858,"Fair",0.71
2859,"Ideal",0.7
2859,"Premium",0.7
2859,"Premium",0.77
2859,"Ideal",0.71
2859,"Premium",0.7
2859,"Fair",0.75
2859,"Premium",0.83
2860,"Very Good",0.71
2860,"Very Good",0.9
2860,"Ideal",0.6
2860,"Premium",0.71
2860,"Ideal",0.53
2861,"Premium",0.71
2861,"Ideal",0.62
2861,"Ideal",0.62
2861,"Premium",0.9
2861,"Fair",0.62
2861,"Premium",0.82
2861,"Premium",0.66
2862,"Very Good",0.7
2862,"Very Good",0.8
2862,"Very Good",0.8
2862,"Premium",0.79
2862,"Very Good",0.71
2862,"Ideal",0.7
2862,"Very Good",0.7
2862,"Premium",0.79
2862,"Premium",0.7
2862,"Premium",1.22
2862,"Fair",1.01
2862,"Premium",0.73
2863,"Good",0.91
2863,"Ideal",0.71
2863,"Premium",0.83
2863,"Premium",0.84
2863,"Premium",0.71
2863,"Premium",0.71
2863,"Premium",0.71
2863,"Ideal",0.71
2863,"Premium",0.71
2863,"Premium",0.71
2863,"Premium",0.91
2863,"Premium",0.9
2863,"Premium",0.71
2863,"Premium",0.71
2863,"Ideal",0.72
2863,"Premium",0.72
2863,"Ideal",0.71
2864,"Ideal",0.81
2865,"Very Good",0.83
2865,"Premium",0.73
2866,"Very Good",0.56
2866,"Very Good",0.56
2866,"Ideal",0.71
2866,"Ideal",0.7
2866,"Premium",0.96
2867,"Very Good",0.71
2867,"Ideal",0.7
2867,"Ideal",0.71
2867,"Premium",0.8
2867,"Premium",0.95
2867,"Ideal",0.82
2867,"Ideal",0.52
2867,"Ideal",0.82
2867,"Ideal",0.82
2867,"Premium",0.82
2867,"Ideal",0.8
2867,"Fair",0.96
2868,"Ideal",0.72
2868,"Ideal",0.62
2868,"Premium",0.79
2868,"Very Good",0.75
2869,"Premium",1.08
2869,"Ideal",0.72
2869,"Ideal",0.62
2869,"Ideal",0.73
2869,"Ideal",0.72
2870,"Premium",0.52
2870,"Ideal",0.83
2870,"Premium",0.64
2870,"Ideal",0.8
2870,"Ideal",0.74
2870,"Ideal",0.72
2870,"Ideal",0.82
2870,"Premium",0.73
2870,"Premium",1.04
2871,"Very Good",0.73
2871,"Good",0.73
2871,"Premium",0.9
2871,"Ideal",0.75
2871,"Ideal",0.79
2872,"Good",0.7
2872,"Very Good",0.75
2872,"Ideal",1.02
2872,"Very Good",0.7
2872,"Ideal",0.7
2872,"Good",0.7
2872,"Ideal",0.7
2872,"Ideal",0.7
2872,"Very Good",0.7
2872,"Very Good",0.72
2872,"Ideal",0.74
2872,"Good",0.84
2873,"Very Good",0.76
2873,"Very Good",0.77
2873,"Ideal",0.76
2873,"Ideal",1
2873,"Fair",1
2873,"Fair",0.9
2873,"Premium",0.9
2873,"Good",0.9
2873,"Fair",0.9
2873,"Fair",0.9
2873,"Premium",0.9
2874,"Premium",0.78
2874,"Premium",0.71
2874,"Premium",0.7
2874,"Premium",0.7
2874,"Premium",0.7
2874,"Ideal",0.7
2874,"Ideal",0.7
2874,"Ideal",0.7
2874,"Premium",0.7
2875,"Fair",1
2875,"Ideal",0.77
2875,"Fair",1
2875,"Fair",1
2875,"Fair",1
2876,"Premium",0.73
2876,"Premium",0.79
2877,"Very Good",0.72
2877,"Ideal",0.71
2877,"Ideal",0.74
2877,"Good",0.7
2877,"Good",0.7
2878,"Very Good",0.79
2878,"Very Good",0.79
2878,"Very Good",0.79
2878,"Ideal",0.71
2878,"Ideal",0.79
2879,"Very Good",0.73
2879,"Premium",0.63
2879,"Premium",0.7
2879,"Premium",0.71
2879,"Ideal",0.84
2879,"Ideal",0.84
2879,"Ideal",1.02
2879,"Fair",0.72
2879,"Ideal",0.72
2880,"Very Good",0.92
2880,"Very Good",0.74
2881,"Ideal",0.7
2881,"Very Good",0.71
2881,"Premium",1.05
2882,"Very Good",0.7
2882,"Ideal",0.54
2882,"Premium",0.73
2882,"Fair",0.88
2882,"Premium",0.73
2883,"Ideal",0.72
2883,"Good",0.9
2883,"Fair",0.9
2884,"Fair",1.03
2885,"Very Good",0.84
2885,"Premium",1.01
2885,"Ideal",0.77
2885,"Fair",0.8
2885,"Fair",0.9
2886,"Ideal",0.73
2886,"Ideal",0.72
2887,"Very Good",0.71
2887,"Premium",0.7
2888,"Ideal",0.79
2889,"Very Good",0.72
2889,"Very Good",0.7
2889,"Very Good",0.7
2889,"Good",0.9
2889,"Very Good",0.71
2889,"Ideal",0.5
2889,"Ideal",0.5
2889,"Ideal",0.74
2889,"Premium",0.77
2889,"Premium",0.77
2890,"Ideal",0.8
2890,"Ideal",0.8
2890,"Premium",0.8
2890,"Good",0.8
2890,"Ideal",0.66
2891,"Very Good",0.71
2891,"Ideal",0.71
2891,"Ideal",0.71
2891,"Ideal",0.71
2891,"Ideal",0.72
2891,"Good",0.71
2892,"Ideal",0.86
2892,"Fair",1.19
2893,"Very Good",0.71
2893,"Very Good",0.82
2893,"Ideal",0.71
2893,"Ideal",0.75
2893,"Very Good",0.7
2893,"Ideal",0.8
2893,"Good",0.82
2893,"Very Good",0.82
2893,"Premium",0.82
2894,"Very Good",0.81
2894,"Ideal",0.81
2894,"Ideal",0.76
2895,"Very Good",0.71
2895,"Very Good",0.7
2895,"Ideal",0.7
2896,"Very Good",0.74
2896,"Very Good",0.77
2896,"Very Good",0.77
2896,"Ideal",0.53
2896,"Ideal",0.79
2896,"Ideal",0.73
2896,"Ideal",0.77
2896,"Premium",0.77
2896,"Very Good",1.01
2896,"Ideal",1.01
2897,"Very Good",0.6
2897,"Premium",0.76
2897,"Ideal",0.54
2897,"Ideal",0.72
2897,"Good",0.72
2897,"Premium",0.74
2898,"Premium",1.12
2898,"Ideal",0.75
2898,"Ideal",0.77
2898,"Good",0.98
2898,"Ideal",0.79
2898,"Ideal",0.79
2898,"Ideal",0.79
2898,"Ideal",0.79
2898,"Ideal",0.79
2898,"Ideal",0.79
2899,"Good",0.7
2900,"Very Good",0.7
2900,"Premium",0.72
2901,"Premium",0.8
2901,"Ideal",0.81
2901,"Premium",0.81
2901,"Ideal",0.74
2902,"Premium",0.73
2902,"Ideal",0.73
2902,"Ideal",0.75
2902,"Fair",0.71
2902,"Premium",0.71
2903,"Premium",0.75
2903,"Ideal",0.75
2903,"Ideal",0.72
2903,"Premium",0.72
2903,"Premium",0.72
2904,"Very Good",0.79
2904,"Very Good",0.79
2904,"Very Good",0.7
2904,"Ideal",0.62
2905,"Very Good",0.7
2905,"Very Good",0.7
2905,"Very Good",0.7
2905,"Very Good",0.71
2905,"Very Good",0.86
2905,"Ideal",0.53
2905,"Very Good",0.91
2905,"Good",0.95
2905,"Premium",0.91
2906,"Very Good",0.74
2906,"Ideal",0.8
2906,"Good",0.74
2907,"Ideal",0.61
2907,"Ideal",0.61
2907,"Ideal",0.61
2907,"Ideal",0.72
2907,"Ideal",0.7
2907,"Ideal",0.71
2907,"Ideal",0.79
2907,"Ideal",0.72
557,"Ideal",0.33
558,"Ideal",0.39
558,"Ideal",0.32
558,"Premium",0.25
558,"Good",0.25
558,"Premium",0.25
558,"Premium",0.25
558,"Premium",0.31
558,"Premium",0.31
558,"Very Good",0.31
558,"Premium",0.31
558,"Premium",0.31
558,"Premium",0.31
558,"Ideal",0.31
558,"Ideal",0.31
558,"Ideal",0.31
558,"Premium",0.31
558,"Ideal",0.31
558,"Premium",0.31
558,"Premium",0.31
558,"Premium",0.31
558,"Very Good",0.31
558,"Premium",0.31
558,"Premium",0.31
558,"Premium",0.31
558,"Good",0.31
558,"Premium",0.31
558,"Premium",0.31
558,"Ideal",0.31
558,"Premium",0.31
2908,"Very Good",0.82
2908,"Ideal",0.73
2909,"Premium",0.7
2909,"Premium",0.7
2909,"Ideal",0.71
2909,"Ideal",0.71
2909,"Ideal",0.9
2910,"Very Good",0.71
2911,"Premium",1.05
2911,"Ideal",0.59
2911,"Ideal",0.71
2911,"Good",0.77
2912,"Good",0.73
2912,"Good",0.7
2912,"Good",0.73
2912,"Premium",0.8
2912,"Fair",1
2912,"Fair",1
2912,"Fair",1
2913,"Very Good",0.7
2913,"Premium",0.71
2913,"Premium",0.71
2913,"Premium",0.71
2913,"Very Good",0.71
2913,"Ideal",0.71
2913,"Premium",0.71
2913,"Premium",0.91
2913,"Premium",0.83
2913,"Ideal",0.85
2914,"Very Good",0.8
2914,"Ideal",0.73
2915,"Very Good",0.83
2915,"Very Good",0.77
2915,"Very Good",0.8
2915,"Ideal",0.71
2916,"Very Good",0.73
2917,"Ideal",0.93
2917,"Premium",0.74
2917,"Ideal",0.7
2917,"Ideal",0.71
2918,"Very Good",0.71
2918,"Very Good",0.8
2918,"Ideal",0.71
2918,"Ideal",0.72
2918,"Very Good",0.83
2919,"Very Good",0.72
2919,"Very Good",0.8
2919,"Premium",0.73
2919,"Good",0.7
2919,"Ideal",0.73
2919,"Ideal",0.73
2920,"Premium",0.71
2920,"Ideal",0.72
2920,"Premium",0.71
2920,"Ideal",0.71
2921,"Very Good",0.74
2921,"Very Good",0.71
2921,"Very Good",0.71
